Date,Open,High,Low,Close,Adj Close,Volume,SMA,RSI,Bollinger MA,Bollinger Up,Bollinger Down,MACD,MACDsig,MACDhist,new_indicator,sma_new_indicator,Prediction
1/25/2021,2034.949951,2034.949951,1932,1941,1922.178345,25016570,Nan,Nan,Nan,Nan,Nan,0,0,0,0.107896203,0.107896203,S
1/27/2021,1925,1925,1888,1895,1876.624512,19553809,Nan,Nan,Nan,Nan,Nan,-3.66951567,-0.733903134,-2.935612536,0.101057343,0.104476773,S
1/28/2021,1880.150024,1923.300049,1870,1876.550049,1858.353394,15722291,Nan,Nan,Nan,Nan,Nan,-7.974465454,-2.182015598,-5.792449856,0.094402,0.101118515,S
1/29/2021,1894.300049,1913.099976,1830,1841.949951,1824.088867,20173258,Nan,Nan,Nan,Nan,Nan,-14.01653404,-4.548919286,-9.467614752,0.085840265,0.097298953,S
2/1/2021,1859.400024,1905,1848,1895.300049,1876.921509,15774504,Nan,Nan,Nan,Nan,Nan,-14.3347676,-6.506088949,-7.828678652,0.089658362,0.095770834,S
2/2/2021,1914.25,1940,1854.949951,1925.800049,1907.125854,19138414,Nan,Nan,Nan,Nan,Nan,-11.98768828,-7.602408816,-4.385279467,0.097680171,0.096089057,L
2/3/2021,1928.300049,1952,1900,1930.650024,1911.928833,13984228,Nan,Nan,Nan,Nan,Nan,-9.62530405,-8.006987863,-1.618316187,0.104126142,0.097237212,L
2/4/2021,1924,1940,1905,1924.300049,1905.640259,11826848,Nan,Nan,Nan,Nan,Nan,-8.17129385,-8.03984906,-0.13144479,0.107589987,0.098531309,L
2/5/2021,1930.050049,1944.650024,1920,1923.75,1905.095703,9344470,Nan,Nan,Nan,Nan,Nan,-6.982870464,-7.828453341,0.845582877,0.109866089,0.099790729,L
2/8/2021,1933.050049,1969,1929.050049,1951.449951,1932.526978,9776136,Nan,Nan,Nan,Nan,Nan,-3.762509949,-7.015264662,3.252754714,0.115473883,0.101359044,L
2/9/2021,1961.949951,1989.599976,1952.300049,1956.150024,1937.181519,9047308,Nan,Nan,Nan,Nan,Nan,-0.821623266,-5.776536383,4.954913117,0.119439264,0.102513351,L
2/10/2021,1953.75,1984.75,1927.300049,1974.300049,1955.155518,9799560,Nan,Nan,Nan,Nan,Nan,2.939718702,-4.033285366,6.973004068,0.124140648,0.104821681,L
2/11/2021,1980,2064.199951,1972.25,2055.699951,2035.766113,19631870,Nan,Nan,Nan,Nan,Nan,12.34657745,-0.757312802,13.10389026,0.138423279,0.109223809,L
2/12/2021,2055.5,2078,2015.400024,2041.599976,2021.802734,14074374,Nan,64.76371511,Nan,Nan,Nan,18.45113742,3.084377242,15.36676018,0.143694905,0.115009273,L
2/15/2021,2048.050049,2061.300049,2025,2032.599976,2012.890137,7287590,Nan,63.09693411,Nan,Nan,Nan,22.30569423,6.928640639,15.37705359,0.143718884,0.120415325,L
2/16/2021,2039.75,2079.399902,2035,2059.5,2039.529419,9886093,Nan,74.87900064,Nan,Nan,Nan,27.21732106,10.98637672,16.23094434,0.145708125,0.125218121,L
2/17/2021,2060,2095.949951,2050.600098,2083.25,2063.049072,10957388,Nan,80.76806516,Nan,Nan,Nan,32.64987973,15.31907733,17.33080241,0.148270375,0.129632544,L
2/18/2021,2085,2108.399902,2059.100098,2067.699951,2047.649658,8605531,Nan,85.62410156,Nan,Nan,Nan,35.29361975,19.31398581,15.97963394,0.145122667,0.133385812,L
2/19/2021,2057,2104.949951,2053.300049,2080.300049,2060.127686,10800704,Nan,83.50234257,Nan,Nan,Nan,37.96785555,23.04475976,14.9230958,0.142661336,0.136665337,L
2/22/2021,2080,2089.899902,1994.949951,2008.099976,1988.627563,10985697,1973.247504,62.94837685,1973.247504,2122.376542,1824.118465,33.87082245,25.2099723,8.660850154,0.128072687,0.137925217,S
2/23/2021,2048,2052.899902,2013.599976,2023.449951,2003.828857,11834752,1977.370001,64.13339617,1977.370001,2127.301893,1827.438109,31.49940338,26.46785851,5.031544868,0.119617787,0.137943069,S
2/24/2021,2030,2065.25,2026.150024,2061,2041.014648,4987735,1985.670001,69.01249772,1985.670001,2134.779165,1836.560838,32.27793191,27.62987319,4.648058719,0.11872441,0.137401446,S
2/25/2021,2076,2152,2073,2144.350098,2123.556641,16085897,1999.060004,74.93781962,1999.060004,2154.857236,1843.262772,39.16906115,29.93771079,9.231350366,0.129401735,0.136499291,S
2/26/2021,2117,2133.899902,2070.699951,2085.800049,2065.574219,17297575,2011.252509,64.19739906,2011.252509,2152.795001,1869.710016,39.45106378,31.84038138,7.610682398,0.125626196,0.13469242,S
3/1/2021,2110.199951,2112,2062.5,2101.699951,2081.320313,8159670,2021.572504,65.0252773,2021.572504,2157.504791,1885.640216,40.49078949,33.57046301,6.920326488,0.124017929,0.132722325,S
3/2/2021,2122,2130,2089.100098,2106,2085.578369,7915073,2030.582501,63.99573677,2030.582501,2163.644082,1897.52092,41.18697976,35.09376636,6.093213406,0.122091071,0.130360619,S
3/3/2021,2121.050049,2219.899902,2107.199951,2202.100098,2180.746582,14733134,2044.155005,65.08656374,2044.155005,2189.140016,1899.169993,48.92916537,37.86084616,11.06831921,0.133681173,0.128901699,L
3/4/2021,2180,2189.949951,2157.699951,2175.850098,2154.751221,9892597,2056.732507,63.49653129,2056.732507,2201.582789,1911.882225,52.34336589,40.75735011,11.58601578,0.134887209,0.127878153,L
3/5/2021,2156,2211.949951,2153.050049,2178.699951,2157.573242,11773630,2069.480005,64.87173053,2069.480005,2209.858708,1929.101302,54.64914242,43.53570857,11.11343385,0.133786273,0.126990647,L
3/8/2021,2168.5,2231.899902,2168,2191.100098,2169.853271,9002404,2081.462512,63.80322808,2081.462512,2220.324883,1942.600142,56.82206576,46.19298001,10.62908575,0.132657927,0.127449171,L
3/9/2021,2200,2213.800049,2146.600098,2191.050049,2169.803711,6993792,2093.207514,61.89844731,2093.207514,2227.089164,1959.325863,57.87296116,48.52897624,9.343984918,0.129664131,0.128453806,L
3/10/2021,2207,2215.100098,2170.25,2181.949951,2160.791992,5316182,2103.590009,62.79250502,2103.590009,2230.679466,1976.500551,57.31085758,50.28535251,7.025505074,0.124262955,0.12900766,S
3/12/2021,2195,2206.399902,2123.899902,2137.600098,2116.87207,7783173,2107.685016,55.98996591,2107.685016,2233.549241,1981.820791,52.67946784,50.76417557,1.915292269,0.112358105,0.127303297,S
3/15/2021,2140.050049,2148.899902,2080.5,2108.899902,2088.449951,7706170,2111.050012,61.59151674,2111.050012,2233.013203,1989.086821,46.161076,49.84355566,-3.682479659,0.099317427,0.12467242,S
